county,year,binary_congress,journos,stories,binary_2014,pop,perc_aian,perc_asian,perc_black,perc_other,perc_white,#_hispanic,median_age,perc_hispanic,perc_hs,perc_bach,per_cap_income,binary_treated,binary_post_treat,voter_part,comments,don_number,don_sum,don_uni,notes
Northampton,2015,0,1120,215,1,21143,0.61013101,0.27905217,58.4448754,1.08783049,39.578111,378,45.5717132,1.78782576,80.4,13.77,30516,0,1,6.39209453,2,217,24407.91,76,
Northampton,2016,1,1090,157,1,20895,0.62694425,0.29193587,58.4302465,1.12467097,39.5262024,390,45.533195,1.86647523,80.4,13.77,31314,0,1,66.3758975,3,147,23461.06,67,
Northampton,2017,0,1070,104,1,20908,0.64568586,0.29653721,58.4178305,1.16701741,39.472929,407,44.9571429,1.9466233,80.4,13.77,33493,0,1,6.47467037,0,80,11324,41,
Northampton,2018,1,920,161,1,20618,0.66446794,0.30555825,58.4052769,1.20768261,39.4170143,414,44.6145833,2.00795422,80.4,13.77,34305,0,1,50.4037777,5,189,32609.31,75,
Catawba,2011,0,790,306,0,155038,0.53793264,3.63072279,8.66432746,1.64927308,85.517744,13991,39.9562528,9.02423922,82.65,21.53,35424,0,0,3.99077741,2,1704,159916.26,513,
Catawba,2012,1,790,348,0,155692,0.56329163,3.6739203,8.67353493,1.72777021,85.3614829,14441,40.2451499,9.27536418,82.65,21.53,37000,0,0,67.0232905,0,2092,262870.72,705,
Catawba,2013,0,930,327,0,155582,0.5893998,3.71572547,8.67838182,1.80547878,85.2110141,14817,40.4620192,9.52359528,82.65,21.53,36556,0,0,7.50265633,1,3294,236988.47,561,
Catawba,2014,1,1100,403,0,155977,0.61483424,3.75824641,8.67884368,1.88168769,85.066388,15238,40.6800098,9.76938908,82.65,21.53,38339,0,1,43.5878087,1,2839,305937.65,827,
Catawba,2015,0,1120,215,1,156197,0.63957694,3.79968885,8.67686319,1.95714386,84.9267272,15637,40.8497009,10.0110758,85.89,22.62,40494,0,1,4.26218562,2,2670,245007.62,567,
Catawba,2016,1,1090,157,1,156774,0.66401317,3.84119816,8.67108066,2.03094901,84.792759,16069,41.0438247,10.2497863,85.89,22.62,41905,0,1,69.4794463,1,1733,220128.5,572,
Catawba,2017,0,1070,104,1,157424,0.68795101,3.88123793,8.6638632,2.10387235,84.6630755,16509,41.1733627,10.4869651,85.89,22.62,43553,0,1,8.69058805,1,2374,408978.93,831,
Catawba,2018,1,920,161,1,158483,0.71237925,3.92218724,8.65329404,2.17625865,84.5358808,16991,41.3400842,10.7210237,85.89,22.62,44948,0,1,50.8653237,4,3233,520162.94,1285,
Pitt,2011,0,790,306,0,170298,0.5126308,1.85380921,34.4901291,1.82210008,61.3213308,9807,31.2816377,5.75872882,86.89,28.82,33398,0,0,12.1224844,1,2000,153792.7,540,
Pitt,2012,1,790,348,0,172509,0.52924775,1.90135007,34.5199381,1.89961104,61.1498531,10208,31.533596,5.91737243,86.89,28.82,35655,0,0,67.8792929,22,2650,552423.9,924,
Pitt,2013,0,930,327,0,173875,0.54406902,1.94795111,34.5495327,1.97383178,60.9846154,10555,31.8313017,6.07045291,86.89,28.82,35409,0,0,15.7623213,2,3284,269650.37,476,
Pitt,2014,1,1100,403,0,174211,0.55851812,1.9924115,34.5770359,2.04522103,60.8268135,10829,32.1371817,6.21602539,86.89,28.82,36761,0,1,39.1346872,10,2870,400088.72,786,
Pitt,2015,0,1120,215,1,175475,0.57273116,2.03561761,34.6049295,2.11483117,60.6718906,11150,32.349122,6.35418151,89.26,32.66,37802,0,1,12.0134711,11,2382,NA,658,
Pitt,2016,1,1090,157,1,176060,0.5867318,2.0771328,34.6308077,2.18221061,60.5231171,11424,32.5581971,6.48869704,89.26,32.66,38565,0,1,65.9030342,7,2949,602783.06,1000,
Pitt,2017,0,1070,104,1,177705,0.59930784,2.11699164,34.655187,2.24641963,60.3820939,11754,32.648729,6.61433274,89.26,32.66,39958,0,1,12.1278622,4,2938,574092.55,1052,
Pitt,2018,1,920,161,1,178440,0.61253082,2.15646716,34.6794441,2.30889935,60.2426586,12019,32.7270616,6.7355974,89.26,32.66,41841,0,1,47.9672388,6,3282,756236.64,1380,
Union,2011,0,790,306,0,204332,0.64356048,1.99381399,12.0578275,1.64389327,83.6609048,22814,36.7105357,11.1651626,88.7,32.27,37700,0,0,6.78888503,8,1765,81715.75,366,
Union,2012,1,790,348,0,207438,0.66284866,2.10954599,12.0648097,1.70798022,83.4548154,23864,37.0545836,11.5041603,88.7,32.27,40659,0,0,69.805283,15,2212,127408.48,492,
Union,2013,0,930,327,0,210937,0.68077198,2.22009415,12.0680582,1.76830049,83.2627751,24937,37.4567181,11.8220132,88.7,32.27,41037,0,0,6.89630141,9,2190,122053.68,474,
Union,2014,1,1100,403,0,215312,0.69852122,2.32592703,12.0671398,1.82525823,83.0831538,26096,37.7491773,12.1200862,88.7,32.27,43375,0,1,41.586552,2,2622,106886.5,562,
Union,2015,0,1120,215,1,219243,0.71518817,2.42744352,12.063327,1.88010564,82.9139357,27188,38.0666071,12.400852,89.63,35.4,46827,0,1,5.94900648,2,2221,80236.23,409,
Union,2016,1,1090,157,1,223663,0.73101049,2.52433348,12.0560844,1.93192437,82.7566473,28325,38.3353818,12.664142,89.63,35.4,48258,0,1,70.445497,0,3419,214981.07,739,
Union,2017,0,1070,104,1,228061,0.74629156,2.61728222,12.0463385,1.98192589,82.6081619,29445,38.4467308,12.9110194,89.63,35.4,49709,0,1,7.72698434,0,3187,223138.5,956,
Union,2018,1,920,161,1,232465,0.76097477,2.70664401,12.0344998,2.02955284,82.4683286,30558,38.5333461,13.1452047,89.63,35.4,51802,0,1,55.6701424,5,4632,392391.48,1322,
Hyde,2011,0,790,306,0,5799,0.6897741,0.29315399,31.9020521,1.20710467,65.9079152,447,41.3963415,7.70822556,79.49,11.19,26649,0,0,0,NA,5,448,5,
Hyde,2012,1,790,348,0,5708,0.71829012,0.29782761,31.587246,1.26138753,66.1352488,464,41.8850575,8.12894184,79.49,11.19,34319,0,0,65.2445652,7,27,7234,25,
Hyde,2013,0,930,327,0,5745,0.74847694,0.27850305,31.2793734,1.32288947,66.3707572,494,42.0977012,8.59878155,79.49,11.19,34588,0,0,0,3,15,5900,12,
Hyde,2014,1,1100,403,0,5670,0.77601411,0.26455027,30.9876543,1.37566138,66.5961199,512,42.6021505,9.02998236,79.49,11.19,32805,0,1,52.4641834,5,42,7224.02,29,
Hyde,2015,0,1120,215,1,5571,0.82570454,0.26925148,30.6767187,1.4360079,66.7923174,529,43.1021505,9.49560223,80.8,9.18,34699,0,1,0,3,5,600,4,
Hyde,2016,1,1090,157,1,5570,0.8438061,0.2513465,30.3590664,1.508079,67.037702,553,43.3809524,9.92818672,80.8,9.18,35086,0,1,67.5699301,2,13,2077.5,11,
Hyde,2017,0,1070,104,1,5442,0.86365307,0.25725836,30.0441014,1.56192576,67.2730614,565,43.8375,10.3822124,80.8,9.18,36654,0,1,0,3,2,600,2,
Hyde,2018,1,920,161,1,5198,0.90419392,0.25009619,29.7229704,1.61600616,67.5067334,562,44.5131579,10.8118507,80.8,9.18,37245,0,1,58.503799,0,70,10575.77,38,
Gaston,2011,0,790,306,0,207339,0.56815167,1.35912684,15.7331713,1.63114513,80.7084051,13232,39.3015303,6.38181915,81.78,18.55,33453,0,0,11.4650237,7,2759,69697.23,430,
Gaston,2012,1,790,348,0,208317,0.59812689,1.39642948,15.8604435,1.70845394,80.4365462,13737,39.5536189,6.59427699,81.78,18.55,34771,0,0,66.7200141,19,3519,290488.56,749,
Gaston,2013,0,930,327,0,209364,0.62665979,1.43338874,15.9888997,1.7849296,80.1661222,14234,39.7655914,6.79868554,81.78,18.55,35189,0,0,4.78365566,34,3602,124625.42,507,
Gaston,2014,1,1100,403,0,210195,0.65510597,1.46958776,16.1183663,1.86017745,79.8967625,14699,39.9288104,6.99303028,81.78,18.55,36414,0,1,40.9997098,28,3490,128190.95,580,
Gaston,2015,0,1120,215,1,212197,0.68379855,1.50567633,16.2495229,1.93452311,79.6264792,15233,40.0487132,7.17870658,84.83,21.23,37642,0,1,7.65133504,0,3463,163069.73,534,
Gaston,2016,1,1090,157,1,215269,0.71120319,1.5417919,16.3804356,2.00725604,79.3593132,15839,40.1269811,7.35777098,84.83,21.23,38249,0,1,67.7862595,1,4079,184416.8,726,
Gaston,2017,0,1070,104,1,218445,0.73840097,1.57659823,16.5117078,2.08015748,79.0931356,16446,40.1932376,7.52866854,84.83,21.23,39977,0,1,9.03189528,0,3900,255507.24,968,
Gaston,2018,1,920,161,1,221006,0.76559007,1.61172095,16.643892,2.1515253,78.8272717,17001,40.2611489,7.69255133,84.83,21.23,40175,0,1,49.1559924,4,5146,344442.71,1213,
Perquimans,2011,0,790,306,0,13588,0.33117457,0.42684722,24.8528113,1.25846335,73.1307036,320,47.1256281,2.35501914,83.93,16.67,34062,0,0,6.33861551,3,35,1426,12,
Perquimans,2012,1,790,348,0,13733,0.34952305,0.44418554,24.8015729,1.3034297,73.1012889,344,47.4970238,2.50491517,83.93,16.67,36100,0,0,67.2982456,1,136,6359.5,47,
Perquimans,2013,0,930,327,0,13811,0.36203027,0.45615814,24.7556296,1.35399319,73.0721888,365,47.7470238,2.64282094,83.93,16.67,34158,0,0,4.8594132,1,59,1845.06,21,
Perquimans,2014,1,1100,403,0,13720,0.37172012,0.47376093,24.7376093,1.39212828,73.0247813,383,47.8220859,2.79154519,83.93,16.67,35205,0,1,41.8906675,0,83,4764.53,39,
Perquimans,2015,0,1120,215,1,13701,0.38683308,0.48171666,24.7208233,1.43785125,72.9727757,400,47.9585987,2.91949493,86.87,20.15,36007,0,1,3.11600165,0,44,3560,24,
Perquimans,2016,1,1090,157,1,13654,0.3954885,0.49802256,24.7180314,1.48674381,72.9017138,418,48.089172,3.06137396,86.87,20.15,37791,0,1,66.1333072,3,75,5088.5,39,
Perquimans,2017,0,1070,104,1,13678,0.40941658,0.51177073,24.7258371,1.52800117,72.8249744,436,47.9803922,3.18760053,86.87,20.15,39501,0,1,4.39305191,0,73,10620.64,32,
Perquimans,2018,1,920,161,1,13652,0.42484618,0.52739525,24.7436273,1.57486083,72.7292704,453,48.1830065,3.31819514,86.87,20.15,40030,0,1,54.973925,1,417,62776.74,195,
Camden,2011,0,790,306,0,10035,0.37867464,1.67414051,13.3432985,2.10264076,82.5012456,234,40.6911765,2.33183857,86.58,19.35,39552,0,0,0,0,40,3949.6,24,
Camden,2012,1,790,348,0,9966,0.37126229,1.76600442,13.2952037,2.23760787,82.3299217,240,40.9235669,2.40818784,86.58,19.35,41030,0,0,63.5178286,NA,73,9030.1,35,
Camden,2013,0,930,327,0,10075,0.37717122,1.8560794,13.2506204,2.36228288,82.1538462,253,41.2987421,2.51116625,86.58,19.35,40783,0,0,0,0,29,2658.5,17,
Camden,2014,1,1100,403,0,10210,0.37218413,1.94906954,13.2027424,2.4877571,81.9882468,262,41.5625,2.56611166,86.58,19.35,41033,0,0,44.8415374,0,61,5359.63,26,
Camden,2015,0,1120,215,1,10214,0.38182886,2.04621108,13.15841,2.60426865,81.8092814,271,41.8993289,2.65322107,86.51,17.12,42251,0,1,0,2,26,3795.5,18,
Camden,2016,1,1090,157,1,10290,0.37900875,2.13799806,13.1292517,2.73080661,81.6229349,279,42.1148649,2.71137026,86.51,17.12,43180,0,1,65.5473123,0,40,3269,25,
Camden,2017,0,1070,104,1,10352,0.38639876,2.22179289,13.0989181,2.84003091,81.4528594,290,42.0294118,2.80139104,86.51,17.12,43696,0,1,0,0,28,3145.8,20,
Camden,2018,1,920,161,1,10490,0.39084843,2.30695901,13.0695901,2.96472831,81.2678742,300,42.1351351,2.85986654,86.51,17.12,44997,0,1,52.1563172,0,74,9424.5,51,
Bertie,2011,0,790,306,0,20937,0.46329465,0.61613412,62.2486507,0.96002293,35.7118976,278,42.335443,1.3277929,74.9,11.11,27793,0,0,3.09111393,1,52,4313,18,
Bertie,2012,1,790,348,0,20574,0.46174784,0.66102848,62.0977933,1.02070575,35.7587246,280,42.2304348,1.36094099,74.9,11.11,30256,0,0,68.3908821,2,128,10946.84,77,
Bertie,2013,0,930,327,0,20463,0.45936568,0.69882227,61.9606118,1.07511118,35.806089,285,42.3161157,1.39275766,74.9,11.11,30652,0,0,4.67884828,9,138,5714.5,84,
